SlNo,CustomerName,Region,TINR,ENGR,IU,HasComplaints
295,ABB SWITZERLAND,EXP,3565,AM,1,0
296,INELEC,RS,642.49,PS,1,1
297,INELEC,RS,41.55,PS,1,1
298,ABB CANADA,EXP,845.56,AM,1,0
299,ABB CANADA,EXP,254.85,AM,1,0
300,ABB CANADA,EXP,1399,AM,1,0
301,PME,RN,3500,RP,0,0
302,ABB SOUTH AFRICA,EXP,132,AM,1,0
303,ABB SOUTH AFRICA,EXP,2452,AM,1,0
304,ABB CANADA,EXP,2414,AM,1,0
305,ABB CANADA,EXP,1008,AM,1,0
306,ANAND UTILITIES,RE,126.8,PS,0,0
307,CALCOM CEMENT,RE,60,PS,1,1
308,ABB INDONESIA,EXP,4075,AN,1,0
309,ABB BRAZIL,EXP,1554.98,AM,1,0
310,A2Z INFRA ENGINEERING LIMITED A/C MESCOM,RN,764.19,RP,0,0
311,MEGHA SALES A/C PTCUL,RN,57,PS,0,0
312,ABB UNITED KINGDOM,EXP,161,AM,1,0
313,ABB UNITED KINGDOM,EXP,48.1,AM,1,0
314,TATA POWER,RW,230,PS,0,1
315,INNOTECH,RS,1151,AM,1,1
316,INNOTECH,RS,1192,AM,1,1
317,ABB SOUTH AFRICA,EXP,815.94,AM,1,0
318,SONI ELECTRICAL & ELECTRONICS,RN,34,PS,1,0
319,TAYO ROLLS LIMITED,RE,115.8,PS,1,0
320,ABB AUSTRALIA,EXP,61.54,AM,1,0
321,ABB CANADA,EXP,2338,AM,1,0
322,ABB CANADA,EXP,1474,AM,1,0
323,ABB CANADA,EXP,1390,AM,1,0
324,ETA ENGINEERS,RS,235,PS,0,0
325,ULTRATECH CEMENT,RS,275,AM,1,1
326,ABB LIMITED A/C HV MACHINES,IDTO,21,PS,1,1
327,RELIANCE INDUSTRIES LIMITED,RW,4000,RP,1,1
328,ABB INDONESIA,EXP,0.5,PS,1,0
329,ABB CANADA,EXP,2601,AM,1,0
330,ABB CANADA,EXP,28.74,AM,1,0
331,ABB CANADA,EXP,22.65,AM,1,0
332,ABB SWEDEN,EXP,290.68,AM,1,0
333,HOGANAS INDIA PVT LIMITED,RW,74.1,PS,1,0
334,MICRO SYSTEMS,RW,992,RP,1,0
335,FEDDERS LLOYD A/C UPCL,RN,22090,AN,0,1
336,DIGI DRIVES,RN,562,AM,1,0
337,ABB HELSINKI,EXP,216,AM,1,0
338,ABB SWEDEN,EXP,301,AM,1,0
